Designator,Value,Manufacturer,MPN,LCSC,Footprint,Specifications,Qty_per_board,Net_qty_2_boards,Suggested_purchase_qty,Supplier,Supplier_code,Source,Engineering_status,Supply_status,Side,Checked_on
U9,STM32C031C6T6,STMicroelectronics,STM32C031C6T6,C5456218,IR_Glasses:LQFP-48_7x7mm_P0.5mm,LQFP-48 7x7mm; 3.3V,1,2,3,LCSC,C5456218,https://www.lcsc.com/product-detail/C5456218.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
U1,TLC59283RGER,Texas Instruments,TLC59283RGER,C485815,IR_Glasses:Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,VQFN-24 RGE; EP 2.1x2.1mm,1,2,3,LCSC,C485815,https://www.lcsc.com/product-detail/C485815.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
U10,LSM6DS3TR-C,STMicroelectronics,LSM6DS3TR-C,C967633,IR_Glasses:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,LGA-14 2.5x3mm; 3.3V,1,2,3,LCSC,C967633,https://www.lcsc.com/product-detail/C967633.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
U6,TLV9061IDBVR,Texas Instruments,TLV9061IDBVR,C398358,IR_Glasses:SOT-23-5,SOT-23-5 DBV,1,2,3,LCSC,C398358,https://www.lcsc.com/product-detail/C398358.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
J1,2492111-5,TE Connectivity,2492111-5,,IR_Glasses:TE_2492111-5_1x05_P0.5mm_Horizontal,5 positions; 0.5mm; top contact; 0.3mm FPC; 0.5A; SMT,1,2,5,DigiKey / customer supplied,17-2492111-5CT-ND,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/2492111-5/29274746,FROZEN_EVT_E1,Public listing: 1910; customer supply; not reserved,F.Cu,2026-09-06
U11,"PESD3V3L2BT,215",Nexperia,"PESD3V3L2BT,215",C55440,IR_Glasses:SOT-23,SOT-23; dual bidirectional ESD; VRWM 3.3V,1,2,5,LCSC,C55440,https://www.lcsc.com/product-detail/C55440.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
D17,"PESD5V0S1BA,115",Nexperia,"PESD5V0S1BA,115",C19224,IR_Glasses:D_SOD-323,SOD-323; bidirectional ESD; VRWM 5V; 14V max at 12A 8/20us,1,2,5,LCSC,C19224,https://www.lcsc.com/product-detail/C19224.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
FB1,600R@100MHz 500mA,Murata,BLM18AG601SN1D,C19330,IR_Glasses:L_0603_1608Metric,0603; 600ohm +/-25% at 100MHz; 500mA; DCR <=0.38ohm,1,2,10,LCSC,C19330,https://www.lcsc.com/product-detail/C19330.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
R1,2.67k,Viking,ARG02FTC2671,C284464,IR_Glasses:R_0402_1005Metric,0402; 2.67kohm; 1%; 62.5mW; thin film,1,2,50,LCSC,C284464,https://www.lcsc.com/product-detail/C284464.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
"R2,R3,R4,R10",10k,UNI-ROYAL,0402WGF1002TCE,C25744,IR_Glasses:R_0402_1005Metric,0402; 10kohm; 1%; 62.5mW; 50V,4,8,100,LCSC,C25744,https://www.lcsc.com/product-detail/C25744.html,FROZEN_EVT_E1,Not reserved; confirm domestic SMT stock and attrition,F.Cu,2026-09-06
